user_id,current_streak,longest_streak,streak_length,last_active_date,streak_start_date,total_active_days
100001,7,7,7,2025-11-25,2025-11-18,21
100002,70,74,70,2025-12-19,2025-10-10,91
100003,17,51,17,2025-12-19,2025-12-02,153
100004,22,57,22,2025-12-26,2025-12-04,94
100005,1,10,1,2025-12-01,2025-11-30,4
100006,1,30,1,2025-12-11,2025-12-10,9
100007,1,6,1,2025-11-07,2025-11-06,17
100008,53,53,53,2025-12-29,2025-11-06,120
100009,23,36,23,2025-12-23,2025-11-30,44
100010,62,143,62,2025-12-20,2025-10-19,294
100011,23,28,23,2025-12-17,2025-11-24,35
100012,19,30,19,2025-12-27,2025-12-08,64
100013,51,81,51,2025-12-22,2025-11-01,186
100014,27,135,27,2025-12-23,2025-11-26,166
100015,8,24,8,2025-12-10,2025-12-02,16
100016,19,46,19,2025-12-31,2025-12-12,25
100017,24,55,24,2025-12-19,2025-11-25,49
100018,3,14,3,2025-11-25,2025-11-22,19
100019,6,20,6,2025-11-19,2025-11-13,27
100020,39,55,39,2025-12-20,2025-11-11,86
100021,1,13,1,2025-12-16,2025-12-15,30
100022,3,12,3,2025-12-11,2025-12-08,14
100023,22,61,22,2025-12-19,2025-11-27,58
100024,23,162,23,2025-12-17,2025-11-24,219
100025,2,9,2,2025-08-11,2025-08-09,6
100026,10,80,10,2025-12-31,2025-12-21,207
100027,70,70,70,2025-12-31,2025-10-22,117
100028,53,61,53,2025-12-29,2025-11-06,74
100029,2,10,2,2025-11-17,2025-11-15,23
100030,3,14,3,2025-11-26,2025-11-23,30
100031,5,20,5,2025-12-13,2025-12-08,54
100032,7,26,7,2025-12-06,2025-11-29,41
100033,16,34,16,2025-12-24,2025-12-08,42
100034,1,2,1,2025-09-16,2025-09-15,4
100035,8,81,8,2025-12-31,2025-12-23,130
100036,2,9,2,2025-12-01,2025-11-29,19
100037,8,30,8,2025-11-27,2025-11-19,49
100038,1,19,1,2025-11-30,2025-11-29,12
100039,2,10,2,2025-11-05,2025-11-03,18
100040,7,19,7,2025-12-19,2025-12-12,46
100041,5,23,5,2025-11-29,2025-11-24,17
100042,62,143,62,2025-12-30,2025-10-29,262
100043,11,70,11,2025-12-23,2025-12-12,187
100044,17,30,17,2025-12-19,2025-12-02,37
100045,21,167,21,2025-12-31,2025-12-10,164
100046,13,74,13,2025-12-24,2025-12-11,204
100047,42,90,42,2025-12-17,2025-11-05,223
100048,18,73,18,2025-12-30,2025-12-12,217
100049,7,7,7,2025-11-23,2025-11-16,8
100050,24,52,24,2025-12-18,2025-11-24,133
100051,9,22,9,2025-12-19,2025-12-10,48
100052,18,32,18,2025-12-21,2025-12-03,54
100053,23,43,23,2025-12-21,2025-11-28,108
100054,2,8,2,2025-08-24,2025-08-22,18
100055,6,17,6,2025-12-02,2025-11-26,51
100056,8,10,8,2025-12-02,2025-11-24,29
100057,52,87,52,2025-12-17,2025-10-26,218
100058,5,25,5,2025-12-01,2025-11-26,20
100059,55,144,55,2025-12-21,2025-10-27,265
100060,23,86,23,2025-12-19,2025-11-26,159
100061,0,7,0,2025-07-24,2025-07-24,9
100062,3,11,3,2025-12-10,2025-12-07,10
100063,5,22,5,2025-12-15,2025-12-10,7
100064,1,11,1,2025-11-28,2025-11-27,8
100065,7,22,7,2025-12-14,2025-12-07,17
100066,1,21,1,2025-12-04,2025-12-03,22
100067,12,36,12,2025-12-25,2025-12-13,107
100068,36,168,36,2025-12-23,2025-11-17,320
100069,9,25,9,2025-12-22,2025-12-13,18
100070,20,73,20,2025-12-18,2025-11-28,110
100071,17,81,17,2025-12-26,2025-12-09,172
100072,2,4,2,2025-11-25,2025-11-23,10
100073,0,6,0,2025-08-26,2025-08-26,0
100074,22,47,22,2025-12-18,2025-11-26,28
100075,4,28,4,2025-11-26,2025-11-22,57
100076,24,53,24,2025-12-18,2025-11-24,75
100077,0,6,0,2025-11-14,2025-11-14,9
100078,19,40,19,2025-12-20,2025-12-01,44
100079,24,66,24,2025-12-23,2025-11-29,51
100080,12,89,12,2025-12-28,2025-12-16,107
100081,5,12,5,2025-12-23,2025-12-18,36
100082,22,73,22,2025-12-23,2025-12-01,23
100083,4,19,4,2025-12-04,2025-11-30,57
100084,2,10,2,2025-10-12,2025-10-10,2
100085,23,54,23,2025-12-19,2025-11-26,49
100086,20,68,20,2025-12-25,2025-12-05,146
100087,2,10,2,2025-07-21,2025-07-19,14
100088,10,27,10,2025-12-28,2025-12-18,20
100089,74,74,74,2025-12-20,2025-10-07,222
100090,31,104,31,2025-12-24,2025-11-23,199
100091,56,136,56,2025-12-19,2025-10-24,177
100092,5,12,5,2025-12-04,2025-11-29,10
100093,1,30,1,2025-11-20,2025-11-19,87
100094,9,55,9,2025-12-28,2025-12-19,163
100095,40,122,40,2025-12-22,2025-11-12,79
100096,8,52,8,2025-12-19,2025-12-11,26
100097,2,2,2,2025-07-15,2025-07-13,6
100098,20,42,20,2025-12-22,2025-12-02,20
100099,0,4,0,2025-08-30,2025-08-30,5
100100,0,4,0,2025-10-18,2025-10-18,6
100101,53,112,53,2025-12-26,2025-11-03,249
