user_id,persona,subscription_type,subscription_status,completion_rate,workouts_per_week_min,workouts_per_week_max,duration_min,duration_max,heart_rate_min,heart_rate_max,current_streak_min,current_streak_max,longest_streak_min,longest_streak_max
100001,Occasional User,Free,Active,0.82,1,3,20,45,110,150,1,8,5,30
100002,Power Athlete,Premium,Active,0.98,5,7,45,90,135,175,20,80,40,180
100003,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100004,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100005,Occasional User,Free,Active,0.82,1,3,20,45,110,150,1,8,5,30
100006,Occasional User,Free,Active,0.82,1,3,20,45,110,150,1,8,5,30
100007,At Risk,Free,Cancelled,0.6,0,1,10,30,95,135,0,2,2,10
100008,Power Athlete,Premium,Active,0.98,5,7,45,90,135,175,20,80,40,180
100009,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100010,Power Athlete,Premium,Active,0.98,5,7,45,90,135,175,20,80,40,180
100011,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100012,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100013,Power Athlete,Premium,Active,0.98,5,7,45,90,135,175,20,80,40,180
100014,Power Athlete,Premium,Active,0.98,5,7,45,90,135,175,20,80,40,180
100015,Occasional User,Free,Active,0.82,1,3,20,45,110,150,1,8,5,30
100016,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100017,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100018,Occasional User,Free,Active,0.82,1,3,20,45,110,150,1,8,5,30
100019,Occasional User,Free,Active,0.82,1,3,20,45,110,150,1,8,5,30
100020,Power Athlete,Premium,Active,0.98,5,7,45,90,135,175,20,80,40,180
100021,Occasional User,Free,Active,0.82,1,3,20,45,110,150,1,8,5,30
100022,Occasional User,Free,Active,0.82,1,3,20,45,110,150,1,8,5,30
100023,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100024,Power Athlete,Premium,Active,0.98,5,7,45,90,135,175,20,80,40,180
100025,At Risk,Free,Cancelled,0.6,0,1,10,30,95,135,0,2,2,10
100026,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100027,Power Athlete,Premium,Active,0.98,5,7,45,90,135,175,20,80,40,180
100028,Power Athlete,Premium,Active,0.98,5,7,45,90,135,175,20,80,40,180
100029,Occasional User,Free,Active,0.82,1,3,20,45,110,150,1,8,5,30
100030,Occasional User,Free,Active,0.82,1,3,20,45,110,150,1,8,5,30
100031,Occasional User,Free,Active,0.82,1,3,20,45,110,150,1,8,5,30
100032,Occasional User,Free,Active,0.82,1,3,20,45,110,150,1,8,5,30
100033,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100034,At Risk,Free,Cancelled,0.6,0,1,10,30,95,135,0,2,2,10
100035,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100036,Occasional User,Free,Active,0.82,1,3,20,45,110,150,1,8,5,30
100037,Occasional User,Free,Active,0.82,1,3,20,45,110,150,1,8,5,30
100038,Occasional User,Free,Active,0.82,1,3,20,45,110,150,1,8,5,30
100039,At Risk,Free,Cancelled,0.6,0,1,10,30,95,135,0,2,2,10
100040,Occasional User,Free,Active,0.82,1,3,20,45,110,150,1,8,5,30
100041,Occasional User,Free,Active,0.82,1,3,20,45,110,150,1,8,5,30
100042,Power Athlete,Premium,Active,0.98,5,7,45,90,135,175,20,80,40,180
100043,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100044,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100045,Power Athlete,Premium,Active,0.98,5,7,45,90,135,175,20,80,40,180
100046,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100047,Power Athlete,Premium,Active,0.98,5,7,45,90,135,175,20,80,40,180
100048,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100049,Occasional User,Free,Active,0.82,1,3,20,45,110,150,1,8,5,30
100050,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100051,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100052,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100053,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100054,At Risk,Free,Cancelled,0.6,0,1,10,30,95,135,0,2,2,10
100055,Occasional User,Free,Active,0.82,1,3,20,45,110,150,1,8,5,30
100056,Occasional User,Free,Active,0.82,1,3,20,45,110,150,1,8,5,30
100057,Power Athlete,Premium,Active,0.98,5,7,45,90,135,175,20,80,40,180
100058,Occasional User,Free,Active,0.82,1,3,20,45,110,150,1,8,5,30
100059,Power Athlete,Premium,Active,0.98,5,7,45,90,135,175,20,80,40,180
100060,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100061,At Risk,Free,Cancelled,0.6,0,1,10,30,95,135,0,2,2,10
100062,Occasional User,Free,Active,0.82,1,3,20,45,110,150,1,8,5,30
100063,Occasional User,Free,Active,0.82,1,3,20,45,110,150,1,8,5,30
100064,Occasional User,Free,Active,0.82,1,3,20,45,110,150,1,8,5,30
100065,Occasional User,Free,Active,0.82,1,3,20,45,110,150,1,8,5,30
100066,Occasional User,Free,Active,0.82,1,3,20,45,110,150,1,8,5,30
100067,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100068,Power Athlete,Premium,Active,0.98,5,7,45,90,135,175,20,80,40,180
100069,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100070,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100071,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100072,At Risk,Free,Cancelled,0.6,0,1,10,30,95,135,0,2,2,10
100073,At Risk,Free,Cancelled,0.6,0,1,10,30,95,135,0,2,2,10
100074,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100075,Occasional User,Free,Active,0.82,1,3,20,45,110,150,1,8,5,30
100076,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100077,At Risk,Free,Cancelled,0.6,0,1,10,30,95,135,0,2,2,10
100078,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100079,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100080,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100081,Occasional User,Free,Active,0.82,1,3,20,45,110,150,1,8,5,30
100082,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100083,Occasional User,Free,Active,0.82,1,3,20,45,110,150,1,8,5,30
100084,At Risk,Free,Cancelled,0.6,0,1,10,30,95,135,0,2,2,10
100085,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100086,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100087,At Risk,Free,Cancelled,0.6,0,1,10,30,95,135,0,2,2,10
100088,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100089,Power Athlete,Premium,Active,0.98,5,7,45,90,135,175,20,80,40,180
100090,Power Athlete,Premium,Active,0.98,5,7,45,90,135,175,20,80,40,180
100091,Power Athlete,Premium,Active,0.98,5,7,45,90,135,175,20,80,40,180
100092,Occasional User,Free,Active,0.82,1,3,20,45,110,150,1,8,5,30
100093,Occasional User,Free,Active,0.82,1,3,20,45,110,150,1,8,5,30
100094,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100095,Power Athlete,Premium,Active,0.98,5,7,45,90,135,175,20,80,40,180
100096,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100097,At Risk,Free,Cancelled,0.6,0,1,10,30,95,135,0,2,2,10
100098,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100099,At Risk,Free,Cancelled,0.6,0,1,10,30,95,135,0,2,2,10
100100,At Risk,Free,Cancelled,0.6,0,1,10,30,95,135,0,2,2,10
100101,Power Athlete,Premium,Active,0.98,5,7,45,90,135,175,20,80,40,180
100102,Occasional User,Free,Active,0.82,1,3,20,45,110,150,1,8,5,30
100103,Occasional User,Free,Active,0.82,1,3,20,45,110,150,1,8,5,30
100104,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100105,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100106,Occasional User,Free,Active,0.82,1,3,20,45,110,150,1,8,5,30
100107,Power Athlete,Premium,Active,0.98,5,7,45,90,135,175,20,80,40,180
100108,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100109,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100110,At Risk,Free,Cancelled,0.6,0,1,10,30,95,135,0,2,2,10
100111,At Risk,Free,Cancelled,0.6,0,1,10,30,95,135,0,2,2,10
100112,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100113,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100114,Power Athlete,Premium,Active,0.98,5,7,45,90,135,175,20,80,40,180
100115,At Risk,Free,Cancelled,0.6,0,1,10,30,95,135,0,2,2,10
100116,At Risk,Free,Cancelled,0.6,0,1,10,30,95,135,0,2,2,10
100117,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100118,Occasional User,Free,Active,0.82,1,3,20,45,110,150,1,8,5,30
100119,Occasional User,Free,Active,0.82,1,3,20,45,110,150,1,8,5,30
100120,Power Athlete,Premium,Active,0.98,5,7,45,90,135,175,20,80,40,180
100121,Occasional User,Free,Active,0.82,1,3,20,45,110,150,1,8,5,30
100122,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100123,Occasional User,Free,Active,0.82,1,3,20,45,110,150,1,8,5,30
100124,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100125,Power Athlete,Premium,Active,0.98,5,7,45,90,135,175,20,80,40,180
100126,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100127,Power Athlete,Premium,Active,0.98,5,7,45,90,135,175,20,80,40,180
100128,At Risk,Free,Cancelled,0.6,0,1,10,30,95,135,0,2,2,10
100129,At Risk,Free,Cancelled,0.6,0,1,10,30,95,135,0,2,2,10
100130,Occasional User,Free,Active,0.82,1,3,20,45,110,150,1,8,5,30
100131,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100132,Power Athlete,Premium,Active,0.98,5,7,45,90,135,175,20,80,40,180
100133,At Risk,Free,Cancelled,0.6,0,1,10,30,95,135,0,2,2,10
100134,At Risk,Free,Cancelled,0.6,0,1,10,30,95,135,0,2,2,10
100135,Power Athlete,Premium,Active,0.98,5,7,45,90,135,175,20,80,40,180
100136,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100137,Power Athlete,Premium,Active,0.98,5,7,45,90,135,175,20,80,40,180
100138,Occasional User,Free,Active,0.82,1,3,20,45,110,150,1,8,5,30
100139,Occasional User,Free,Active,0.82,1,3,20,45,110,150,1,8,5,30
100140,Power Athlete,Premium,Active,0.98,5,7,45,90,135,175,20,80,40,180
100141,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100142,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100143,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100144,At Risk,Free,Cancelled,0.6,0,1,10,30,95,135,0,2,2,10
100145,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100146,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100147,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100148,Occasional User,Free,Active,0.82,1,3,20,45,110,150,1,8,5,30
100149,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100150,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100151,At Risk,Free,Cancelled,0.6,0,1,10,30,95,135,0,2,2,10
100152,Occasional User,Free,Active,0.82,1,3,20,45,110,150,1,8,5,30
100153,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100154,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100155,Power Athlete,Premium,Active,0.98,5,7,45,90,135,175,20,80,40,180
100156,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100157,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100158,Occasional User,Free,Active,0.82,1,3,20,45,110,150,1,8,5,30
100159,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100160,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100161,Power Athlete,Premium,Active,0.98,5,7,45,90,135,175,20,80,40,180
100162,Occasional User,Free,Active,0.82,1,3,20,45,110,150,1,8,5,30
100163,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100164,At Risk,Free,Cancelled,0.6,0,1,10,30,95,135,0,2,2,10
100165,At Risk,Free,Cancelled,0.6,0,1,10,30,95,135,0,2,2,10
100166,Power Athlete,Premium,Active,0.98,5,7,45,90,135,175,20,80,40,180
100167,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100168,Occasional User,Free,Active,0.82,1,3,20,45,110,150,1,8,5,30
100169,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100170,Power Athlete,Premium,Active,0.98,5,7,45,90,135,175,20,80,40,180
100171,At Risk,Free,Cancelled,0.6,0,1,10,30,95,135,0,2,2,10
100172,Occasional User,Free,Active,0.82,1,3,20,45,110,150,1,8,5,30
100173,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100174,Occasional User,Free,Active,0.82,1,3,20,45,110,150,1,8,5,30
100175,Occasional User,Free,Active,0.82,1,3,20,45,110,150,1,8,5,30
100176,Power Athlete,Premium,Active,0.98,5,7,45,90,135,175,20,80,40,180
100177,Power Athlete,Premium,Active,0.98,5,7,45,90,135,175,20,80,40,180
100178,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100179,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100180,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100181,Occasional User,Free,Active,0.82,1,3,20,45,110,150,1,8,5,30
100182,Occasional User,Free,Active,0.82,1,3,20,45,110,150,1,8,5,30
100183,At Risk,Free,Cancelled,0.6,0,1,10,30,95,135,0,2,2,10
100184,Power Athlete,Premium,Active,0.98,5,7,45,90,135,175,20,80,40,180
100185,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100186,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100187,At Risk,Free,Cancelled,0.6,0,1,10,30,95,135,0,2,2,10
100188,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100189,Power Athlete,Premium,Active,0.98,5,7,45,90,135,175,20,80,40,180
100190,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100191,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100192,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100193,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100194,At Risk,Free,Cancelled,0.6,0,1,10,30,95,135,0,2,2,10
100195,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100196,At Risk,Free,Cancelled,0.6,0,1,10,30,95,135,0,2,2,10
100197,Occasional User,Free,Active,0.82,1,3,20,45,110,150,1,8,5,30
100198,Power Athlete,Premium,Active,0.98,5,7,45,90,135,175,20,80,40,180
100199,At Risk,Free,Cancelled,0.6,0,1,10,30,95,135,0,2,2,10
100200,Occasional User,Free,Active,0.82,1,3,20,45,110,150,1,8,5,30
100201,At Risk,Free,Cancelled,0.6,0,1,10,30,95,135,0,2,2,10
100202,At Risk,Free,Cancelled,0.6,0,1,10,30,95,135,0,2,2,10
100203,Occasional User,Free,Active,0.82,1,3,20,45,110,150,1,8,5,30
100204,Power Athlete,Premium,Active,0.98,5,7,45,90,135,175,20,80,40,180
100205,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100206,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100207,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100208,Power Athlete,Premium,Active,0.98,5,7,45,90,135,175,20,80,40,180
100209,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100210,At Risk,Free,Cancelled,0.6,0,1,10,30,95,135,0,2,2,10
100211,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100212,Occasional User,Free,Active,0.82,1,3,20,45,110,150,1,8,5,30
100213,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100214,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
100215,At Risk,Free,Cancelled,0.6,0,1,10,30,95,135,0,2,2,10
100216,At Risk,Free,Cancelled,0.6,0,1,10,30,95,135,0,2,2,10
100217,Occasional User,Free,Active,0.82,1,3,20,45,110,150,1,8,5,30
100218,Occasional User,Free,Active,0.82,1,3,20,45,110,150,1,8,5,30
100219,Power Athlete,Premium,Active,0.98,5,7,45,90,135,175,20,80,40,180
100220,Consistent Mover,Basic,Active,0.92,3,5,35,60,125,165,8,25,20,90
