user_id,subscription_type,status,join_date,renewal_date,monthly_price,auto_renew,billing_cycle
100001,Free,Active,2025-08-12,2026-01-25,0.0,True,Monthly
100002,Premium,Active,2025-02-21,2026-02-13,19.99,True,Monthly
100003,Basic,Active,2024-04-18,2026-01-06,9.99,True,Monthly
100004,Basic,Active,2025-11-14,2026-01-22,9.99,True,Monthly
100005,Free,Cancelled,2024-01-28,2025-10-20,0.0,False,Monthly
100006,Free,Cancelled,2025-03-31,2025-08-06,0.0,False,Monthly
100007,Free,Expired,2024-11-04,2025-11-19,0.0,False,Monthly
100008,Premium,Active,2024-10-27,2026-01-26,19.99,True,Monthly
100009,Basic,Active,2024-11-15,2026-01-30,9.99,True,Monthly
100010,Premium,Active,2025-11-29,2026-01-09,19.99,True,Monthly
100011,Basic,Active,2024-09-18,2026-02-06,9.99,True,Monthly
100012,Basic,Active,2024-01-23,2026-02-06,9.99,True,Monthly
100013,Premium,Active,2025-08-03,2026-01-09,19.99,True,Monthly
100014,Premium,Active,2024-09-03,2025-12-26,19.99,True,Monthly
100015,Free,Active,2025-08-24,2026-01-18,0.0,True,Monthly
100016,Basic,Active,2025-07-23,2026-01-17,9.99,True,Monthly
100017,Basic,Active,2025-08-04,2025-12-29,9.99,True,Monthly
100018,Free,Active,2025-06-15,2026-01-18,0.0,True,Monthly
100019,Free,Active,2025-02-13,2025-12-24,0.0,True,Monthly
100020,Premium,Active,2024-07-28,2026-01-22,19.99,True,Monthly
100021,Free,Active,2024-02-26,2026-02-26,0.0,True,Monthly
100022,Free,Expired,2024-07-30,2025-09-04,0.0,False,Monthly
100023,Basic,Active,2024-11-06,2026-01-10,9.99,True,Monthly
100024,Premium,Active,2024-08-28,2025-12-30,19.99,True,Monthly
100025,Free,Expired,2024-06-08,2025-08-28,0.0,False,Monthly
100026,Basic,Active,2025-08-06,2026-02-16,9.99,True,Monthly
100027,Premium,Active,2024-11-15,2026-01-12,19.99,True,Monthly
100028,Premium,Active,2024-11-18,2025-12-24,19.99,True,Monthly
100029,Free,Cancelled,2024-03-19,2025-08-06,0.0,False,Monthly
100030,Free,Expired,2025-06-25,2025-10-12,0.0,False,Monthly
100031,Free,Active,2025-09-01,2026-01-29,0.0,True,Monthly
100032,Free,Active,2025-08-16,2026-01-19,0.0,True,Monthly
100033,Basic,Active,2025-06-14,2025-12-23,9.99,True,Monthly
100034,Free,Active,2025-05-29,2026-02-25,0.0,True,Monthly
100035,Basic,Active,2025-07-16,2026-01-14,9.99,True,Monthly
100036,Free,Active,2025-05-08,2026-01-30,0.0,True,Monthly
100037,Free,Cancelled,2025-04-19,2025-08-08,0.0,False,Monthly
100038,Free,Expired,2025-04-07,2025-09-03,0.0,False,Monthly
100039,Free,Cancelled,2025-04-27,2025-12-13,0.0,False,Monthly
100040,Free,Active,2025-02-17,2026-03-01,0.0,True,Monthly
100041,Free,Cancelled,2024-10-11,2025-10-03,0.0,False,Monthly
100042,Premium,Active,2025-10-12,2026-01-07,19.99,True,Monthly
100043,Basic,Active,2025-11-03,2026-01-25,9.99,True,Monthly
100044,Basic,Active,2024-03-17,2026-01-16,9.99,True,Monthly
100045,Premium,Active,2024-01-05,2026-01-20,19.99,True,Monthly
100046,Basic,Active,2024-11-06,2026-02-14,9.99,True,Monthly
100047,Premium,Active,2024-07-30,2025-12-25,19.99,True,Monthly
100048,Basic,Active,2025-08-05,2026-02-10,9.99,True,Monthly
100049,Free,Expired,2024-03-14,2025-11-13,0.0,False,Monthly
100050,Basic,Active,2025-11-07,2026-02-06,9.99,True,Monthly
100051,Basic,Active,2025-01-25,2026-02-26,9.99,True,Monthly
100052,Basic,Active,2024-02-21,2026-01-31,9.99,True,Monthly
100053,Basic,Active,2024-10-13,2026-01-10,9.99,True,Monthly
100054,Free,Cancelled,2025-01-14,2025-10-21,0.0,False,Monthly
100055,Free,Active,2024-05-03,2026-02-02,0.0,True,Monthly
100056,Free,Expired,2024-06-16,2025-10-13,0.0,False,Monthly
100057,Premium,Active,2024-10-29,2026-02-01,19.99,True,Monthly
100058,Free,Active,2024-01-14,2026-02-04,0.0,True,Monthly
100059,Premium,Active,2025-06-22,2026-01-30,19.99,True,Monthly
100060,Basic,Active,2024-03-08,2026-01-16,9.99,True,Monthly
100061,Free,Cancelled,2025-11-29,2025-08-03,0.0,False,Monthly
100062,Free,Active,2024-01-19,2026-02-02,0.0,True,Monthly
100063,Free,Expired,2025-09-27,2025-07-27,0.0,False,Monthly
100064,Free,Active,2025-01-05,2026-01-06,0.0,True,Monthly
100065,Free,Expired,2025-02-11,2025-10-28,0.0,False,Monthly
100066,Free,Active,2025-04-18,2026-02-07,0.0,True,Monthly
100067,Basic,Active,2024-07-26,2025-12-21,9.99,True,Monthly
100068,Premium,Active,2025-02-19,2026-02-27,19.99,True,Monthly
100069,Basic,Active,2024-10-29,2026-02-27,9.99,True,Monthly
100070,Basic,Active,2024-05-12,2026-01-24,9.99,True,Monthly
100071,Basic,Active,2025-04-02,2026-02-05,9.99,True,Monthly
100072,Free,Cancelled,2025-06-06,2025-10-14,0.0,False,Monthly
100073,Free,Expired,2024-05-05,2025-12-11,0.0,False,Monthly
100074,Basic,Active,2025-07-15,2026-02-03,9.99,True,Monthly
100075,Free,Cancelled,2025-08-16,2025-07-22,0.0,False,Monthly
100076,Basic,Active,2025-09-19,2026-01-04,9.99,True,Monthly
100077,Free,Expired,2025-09-08,2025-10-13,0.0,False,Monthly
100078,Basic,Active,2024-02-12,2026-01-21,9.99,True,Monthly
100079,Basic,Active,2024-06-22,2025-12-23,9.99,True,Monthly
100080,Basic,Active,2025-02-01,2026-02-01,9.99,True,Monthly
100081,Free,Active,2025-11-22,2025-12-30,0.0,True,Monthly
100082,Basic,Active,2025-06-07,2026-02-20,9.99,True,Monthly
100083,Free,Cancelled,2025-11-20,2025-07-19,0.0,False,Monthly
100084,Free,Cancelled,2025-06-11,2025-12-10,0.0,False,Monthly
100085,Basic,Active,2025-09-24,2026-02-18,9.99,True,Monthly
100086,Basic,Active,2025-03-04,2026-02-03,9.99,True,Monthly
100087,Free,Cancelled,2025-02-25,2025-09-17,0.0,False,Monthly
100088,Basic,Active,2025-07-16,2026-03-01,9.99,True,Monthly
100089,Premium,Active,2025-02-20,2026-01-13,19.99,True,Monthly
100090,Premium,Active,2024-04-14,2026-01-12,19.99,True,Monthly
100091,Premium,Active,2024-01-11,2026-01-30,19.99,True,Monthly
100092,Free,Active,2024-07-17,2026-01-05,0.0,True,Monthly
100093,Free,Active,2024-10-17,2026-01-22,0.0,True,Monthly
100094,Basic,Active,2025-04-13,2026-02-25,9.99,True,Monthly
100095,Premium,Active,2024-03-13,2026-01-03,19.99,True,Monthly
100096,Basic,Active,2024-03-12,2026-01-12,9.99,True,Monthly
100097,Free,Expired,2024-08-28,2025-10-13,0.0,False,Monthly
100098,Basic,Active,2025-07-20,2026-02-24,9.99,True,Monthly
100099,Free,Cancelled,2024-03-01,2025-09-08,0.0,False,Monthly
100100,Free,Expired,2024-01-12,2025-09-04,0.0,False,Monthly
100101,Premium,Active,2024-02-01,2026-02-26,19.99,True,Monthly
100102,Free,Active,2024-07-22,2026-02-28,0.0,True,Monthly
100103,Free,Expired,2024-12-15,2025-11-04,0.0,False,Monthly
100104,Basic,Active,2024-10-01,2026-02-06,9.99,True,Monthly
100105,Basic,Active,2025-03-17,2026-02-01,9.99,True,Monthly
100106,Free,Expired,2024-11-12,2025-12-16,0.0,False,Monthly
100107,Premium,Active,2024-11-01,2026-01-01,19.99,True,Monthly
100108,Basic,Active,2024-02-22,2026-02-13,9.99,True,Monthly
100109,Basic,Active,2024-11-21,2025-12-30,9.99,True,Monthly
100110,Free,Expired,2024-02-28,2025-09-22,0.0,False,Monthly
100111,Free,Active,2024-11-29,2026-02-22,0.0,True,Monthly
100112,Basic,Active,2024-10-10,2026-02-12,9.99,True,Monthly
100113,Basic,Active,2024-05-01,2026-02-22,9.99,True,Monthly
100114,Premium,Active,2024-01-06,2026-02-28,19.99,True,Monthly
100115,Free,Cancelled,2025-10-03,2025-09-06,0.0,False,Monthly
100116,Free,Cancelled,2025-10-03,2025-11-04,0.0,False,Monthly
100117,Basic,Active,2025-04-07,2026-01-08,9.99,True,Monthly
100118,Free,Active,2025-04-01,2026-01-27,0.0,True,Monthly
100119,Free,Cancelled,2024-05-14,2025-11-22,0.0,False,Monthly
100120,Premium,Active,2024-08-25,2026-01-03,19.99,True,Monthly
100121,Free,Active,2024-11-21,2026-01-02,0.0,True,Monthly
